warning_detector,drift_detector,warning_signal,drift_signal,model_type,files,mean_accuracy,mean_detected_drifts,mean_time_s,total_time_s
adwin,seed,error,error,ht,10,0.9372626262626265,0.3,4.1951583917000335,41.951583917000335
seqdrift2,seed,error,error,ht,10,0.9369444444444444,0.5,4.243227729299724,42.43227729299724
adwin,seed,uq_mi,error,hf,10,0.9368787878787881,0.4,12.983020199999965,129.83020199999964
adwin,adwin,error,uq_entropy,hf,10,0.9367929292929293,0.6,8.907752824900005,89.07752824900004
adwin,seqdrift2,error,uq_mi,hf,10,0.9361717171717172,0.3,10.263436745999979,102.6343674599998
adwin,adwin,uq_mi,uq_entropy,hf,10,0.9356565656565656,0.5,11.182345150000026,111.82345150000026
adwin,adwin,uq_entropy,uq_vote,hf,10,0.9349545454545455,0.5,9.609478158399998,96.09478158399997
adwin,seed,uq_entropy,error,hf,10,0.9342525252525252,0.3,9.810741429100016,98.10741429100017
seqdrift2,seqdrift2,uq_mi,uq_entropy,hf,10,0.933510101010101,3.6,11.371155158400143,113.71155158400143
seqdrift2,adwin,uq_mi,error,hf,10,0.9332575757575757,1.7,8.159066795800026,81.59066795800027
adwin,seqdrift2,uq_mi,uq_vote,hf,10,0.9317171717171717,0.3,10.946968608199995,109.46968608199995
adwin,adwin,uq_mi,uq_vote,hf,10,0.9302878787878788,0.5,9.339850129200011,93.3985012920001
adwin,adwin,error,uq_mi,hf,10,0.9300656565656565,0.5,8.620353071,86.20353071000001
seqdrift2,seqdrift2,error,uq_entropy,hf,10,0.9297373737373738,3.2,15.019786770900463,150.19786770900464
adwin,seed,uq_entropy,uq_mi,hf,10,0.9292626262626262,0.0,7.811727891599958,78.11727891599958
adwin,seed,uq_entropy,uq_vote,hf,10,0.9292626262626262,0.0,7.695091183500063,76.95091183500062
adwin,seed,uq_entropy,uq_entropy,hf,10,0.9292626262626262,0.0,7.95270317490008,79.5270317490008
adwin,adwin,error,uq_vote,hf,10,0.9290050505050506,0.2,6.064075287699997,60.64075287699997
adwin,seed,error,uq_mi,hf,10,0.9266919191919192,0.0,9.942281629299988,99.42281629299987
adwin,seed,error,uq_vote,hf,10,0.9266919191919192,0.0,9.83359376259998,98.3359376259998
adwin,seed,error,uq_entropy,hf,10,0.9266919191919192,0.0,8.3514364957,83.514364957
adwin,seed,uq_mi,uq_mi,hf,10,0.9246313131313132,0.0,9.394437016700067,93.94437016700067
adwin,seed,uq_mi,uq_vote,hf,10,0.9246313131313132,0.0,10.175199266600021,101.7519926660002
adwin,seed,uq_mi,uq_entropy,hf,10,0.9246313131313132,0.0,10.526724279199971,105.2672427919997
seqdrift2,adwin,uq_entropy,error,hf,10,0.9215959595959596,1.8,9.367474008400132,93.67474008400131
seqdrift2,adwin,uq_vote,error,hf,10,0.921378787878788,1.5,9.649955158299964,96.49955158299963
seqdrift2,seqdrift2,error,uq_vote,hf,10,0.918949494949495,1.9,9.562366449899674,95.62366449899673
seqdrift2,adwin,error,uq_entropy,hf,10,0.9153585858585858,0.5,3.667244329100322,36.67244329100322
seqdrift2,seqdrift2,uq_mi,uq_vote,hf,10,0.9143383838383838,1.9,7.764528671000335,77.64528671000335
seqdrift2,seqdrift2,uq_entropy,uq_vote,hf,10,0.9142171717171717,1.1,7.007278250199851,70.07278250199852
seqdrift2,seqdrift2,uq_vote,uq_vote,hf,10,0.9137474747474748,1.3,7.791154545800237,77.91154545800237
